Metric,Initial Value,Final Value,Improvement,Change
loss,0.4224830492901514,0.0934280697182646,-0.3290549795718868,-0.3291 ✓
accuracy,0.9729178647984524,0.9730747111413186,0.00015684634286616816,0.0002 ✓
precision,0.9252134153288976,0.9254294524734328,0.00021603714453521938,0.0002 ✓
recall,0.9996079354213104,0.9998432038319076,0.00023526841059717807,0.0002 ✓
f1_score,0.960960063887254,0.9611860036825214,0.0002259397952674158,0.0002 ✓
false_positive_rate,0.0404265280181209,0.0403089030783945,-0.00011762493972639759,-0.0001 ✓
false_negative_rate,0.0003920645786895,0.0001567961680923,-0.0002352684105972,-0.0002 ✓
