Metric,Initial Value,Final Value,Improvement,Change
loss,5012873313988486.0,407343728.52393585,-5012872906644757.0,-5012872906644757.0000 ✓
accuracy,0.5560970327052198,0.9746047216807452,0.41850768897552537,0.4185 ✓
precision,0.4288878450986114,0.959920717662071,0.5310328725634597,0.5310 ✓
recall,0.9998375568551008,0.964099444707368,-0.035738112147732815,-0.0357 ✗
f1_score,0.6002723679980071,0.9619777323550998,0.36170536435709266,0.3617 ✓
false_positive_rate,0.6657735663813779,0.0201426289482288,-0.645630937433149,-0.6456 ✓
false_negative_rate,0.0001624431448992,0.0359005552926321,0.0357381121477329,0.0357 ✗
