Metric,Initial Value,Final Value,Improvement,Change
loss,0.2633845715703604,0.0979882522714802,-0.16539631929888018,-0.1654 ✓
accuracy,0.9798360186862428,0.9789368581209584,-0.0008991605652843848,-0.0009 ✗
precision,0.9614343876051084,0.9596409409305882,-0.0017934466745201938,-0.0018 ✗
recall,0.9998092332557008,1.0,0.00019076674429918672,0.0002 ✓
f1_score,0.9802359915310204,0.979386511913958,-0.0008494796170623875,-0.0008 ✗
false_positive_rate,0.0401253602406517,0.0421178141493259,0.0019924539086742035,0.0020 ✗
false_negative_rate,0.000190766744299,0.0,-0.000190766744299,-0.0002 ✓
