round,round,loss,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate
1,1,0.55340116174598,0.9715032545743427,0.9475708397109884,0.9982571585759037,0.9722476700931214,0.05524244197899786,0.001742841424096244
2,2,0.47284482550689677,0.9775574984685638,0.9581259935746759,0.9987747662065353,0.9780233961739371,0.04365233708843711,0.0012252337934647213
3,3,0.4734506632672098,0.9773421277635276,0.957728114858549,0.998778504848258,0.9778178757500282,0.04408842249190505,0.001221495151741969
4,4,0.41352598537892427,0.9776684097200862,0.9577990562430446,0.999384757821309,0.9781443724916922,0.044039681150234704,0.0006152421786910489
5,5,0.4129802577611364,0.9778174116597926,0.9580240710632285,0.9994426060854629,0.9782896935593668,0.04380286249604891,0.0005573939145370082
6,6,0.360279570678689,0.9781276804313197,0.9585345508536807,0.9995098173254121,0.9785883100639625,0.04324904784365332,0.0004901826745878569
7,7,0.32785075706424294,0.9777299292525377,0.9578032408225248,0.999507796886212,0.9782059303145362,0.044039681150234704,0.0004922031137879422
8,8,0.3272979917959724,0.9777109105093057,0.9577273494432101,0.9995541757709447,0.9781894150630362,0.04412743557918809,0.0004458242290551098
9,9,0.32828949174405614,0.9771865238732709,0.9567621519854169,0.999553728156257,0.9776863658379845,0.04517535865029302,0.0004462718437429161
10,10,0.3280223144461267,0.9773513332589535,0.9570674037501277,0.9995536783658024,0.9778448950192234,0.04484568949472572,0.0004463216341974228
11,11,0.32736183511850375,0.9777084262148907,0.9577227755531467,0.9995541260803263,0.978187019777155,0.0441323539291189,0.00044587391967359564
12,12,0.32733246004690336,0.9773996822631067,0.9571194186808483,0.999589977880663,0.977890302901966,0.0447837347971642,0.0004100221193370061
13,13,0.3235200686322124,0.9782755033351692,0.9584777290886132,0.9998775618619042,0.9787357461527904,0.043318341417114326,0.0001224381380957714
14,14,0.3050627417618056,0.9775104895104895,0.9573609311268396,0.9995524049446364,0.9779968282322392,0.04452391704039525,0.0004475950553635245
15,15,0.30559288282356895,0.9771890686001116,0.9567668371096899,0.9995537779356037,0.977688819106713,0.04517031956957352,0.00044622206439615174
